start_station_name,end_station_name,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count
5th & Bowie,4th & Congress,3,early morning,8.94780106863954,1,Local365,2015.3090834360871,11.78545006165228,2433
4th & Congress,5th & Bowie,1,late afternoon,11.289636846767051,3,Local365,2015.3609388839682,15.014171833480956,2258
5th & Bowie,City Hall / Lavaca & 2nd,0,late afternoon,11.00517890772128,3,Local365,2015.1756120527307,14.809322033898304,2124
3rd & West,City Hall / Lavaca & 2nd,4,late morning,8.807834833245103,3,Local365,2015.6516675489677,13.06140815246162,1889
Convention Center / 4th St. @ MetroRail,City Hall / Lavaca & 2nd,2,early morning,13.819351230425056,3,Local365,2015.331096196868,11.307046979865772,1788
South Congress & Academy,2nd & Congress,5,late afternoon,17.380273660205244,3,Walk Up,2015.3950969213226,13.399087799315849,1754
City Hall / Lavaca & 2nd,5th & Bowie,3,late afternoon,10.989832535885167,3,Local365,2015.1022727272727,14.084928229665072,1672
Republic Square @ Guadalupe & 4th St.,5th & Bowie,2,late morning,7.727436823104693,3,Local365,2014.6708784596872,11.279181708784597,1662
Rainey St @ Cummings,City Hall / Lavaca & 2nd,4,late morning,17.390151515151516,10,Local365,2015.5366161616162,12.492424242424242,1584
5th & Bowie,Convention Center / 4th St. @ MetroRail,4,late afternoon,13.63112582781457,3,Annual Membership (Austin B-cycle),2014.930463576159,14.737086092715233,1510
3rd & West,4th & Congress,4,late morning,9.151333333333334,3,Local365,2015.6726666666666,12.35,1500
Riverside @ S. Lamar,City Hall / Lavaca & 2nd,5,late afternoon,19.03445945945946,3,Walk Up,2015.3831081081082,14.039864864864866,1480
City Hall / Lavaca & 2nd,Riverside @ S. Lamar,5,late afternoon,18.59577368779823,3,Walk Up,2015.4205862304023,14.56509884117246,1467
City Hall / Lavaca & 2nd,Convention Center / 4th St. @ MetroRail,0,late afternoon,18.637744034707158,3,Local365,2015.1569052783802,15.342010122921186,1383
Riverside @ S. Lamar,Rainey St @ Cummings,5,early afternoon,31.31685393258427,6,Walk Up,2015.6741573033707,13.958801498127341,1335
5th & Bowie,2nd & Congress,4,early afternoon,12.769172361427486,3,Local365,2015.2892938496584,13.22399392558846,1317
Riverside @ S. Lamar,Pfluger Bridge @ W 2nd Street,5,early afternoon,26.56777691711851,3,Walk Up,2015.4763749031758,14.71959721146398,1291
South Congress & James,2nd & Congress,5,late afternoon,24.89260700389105,3,Walk Up,2015.1836575875486,14.961089494163424,1285
Davis at Rainey Street,Trinity & 6th Street,5,evening,18.60963855421687,3,Walk Up,2015.316465863454,15.30281124497992,1245
2nd & Congress,South Congress & James,5,early afternoon,22.52542372881356,3,Walk Up,2015.227602905569,14.42130750605327,1239
Riverside @ S. Lamar,Zilker Park,6,early afternoon,27.120717781402938,10,Walk Up,2016.0889070146818,14.083197389885807,1226
Riverside @ S. Lamar,Barton Springs Pool,5,early afternoon,23.594884488448844,4,Walk Up,2015.3531353135313,13.835808580858085,1212
4th & Congress,3rd & West,0,late afternoon,8.555371900826445,3,Local365,2015.594214876033,15.6099173553719,1210
2nd & Congress,South Congress & Academy,5,evening,18.12156536219817,3,Walk Up,2015.563696919234,14.604496253122399,1201
City Hall / Lavaca & 2nd,3rd & West,2,late afternoon,8.06576728499157,5,Local365,2015.5927487352444,14.388701517706577,1186
Rainey St @ Cummings,Riverside @ S. Lamar,6,early afternoon,36.48348856900932,7,Walk Up,2015.5918712955122,14.020321761219305,1181
Davis at Rainey Street,Convention Center / 4th St. @ MetroRail,5,late afternoon,22.689478186484173,3,Walk Up,2015.28999144568,15.092386655260906,1169
5th & Bowie,Republic Square @ Guadalupe & 4th St.,1,late afternoon,7.647875108412836,3,Annual Membership (Austin B-cycle),2014.4718126626192,15.533391153512575,1153
Pfluger Bridge @ W 2nd Street,Riverside @ S. Lamar,5,late afternoon,33.09834638816362,3,Walk Up,2015.4934725848564,14.787641427328111,1149
Davis at Rainey Street,2nd & Congress,6,evening,23.742653606411398,3,Walk Up,2015.5512021371326,15.27426536064114,1123
Convention Center / 4th St. @ MetroRail,5th & Bowie,4,late morning,15.1008100810081,3,Annual Membership (Austin B-cycle),2014.92799279928,12.003600360036003,1111
Pfluger Bridge @ W 2nd Street,City Hall / Lavaca & 2nd,5,late afternoon,15.052346570397113,10,Walk Up,2014.994584837545,14.101083032490974,1108
2nd & Congress,Davis at Rainey Street,5,late afternoon,20.69019248395967,3,Walk Up,2015.4967919340054,16.229147571035746,1091
