,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count,path_id,origin-dest,latitude,location,longitude,name,station_id,status,start_count,end_count
0,3,early morning,8.94780106863954,1,Local365,2015.3090834360871,11.78545006165228,2433,0,origin,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
0,3,early morning,8.94780106863954,1,Local365,2015.3090834360871,11.78545006165228,2433,0,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
1,1,late afternoon,11.289636846767051,3,Local365,2015.3609388839682,15.014171833480956,2258,1,origin,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
1,1,late afternoon,11.289636846767051,3,Local365,2015.3609388839682,15.014171833480956,2258,1,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
2,0,late afternoon,11.00517890772128,3,Local365,2015.1756120527307,14.809322033898304,2124,2,origin,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
2,0,late afternoon,11.00517890772128,3,Local365,2015.1756120527307,14.809322033898304,2124,2,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
3,4,late morning,8.807834833245103,3,Local365,2015.6516675489677,13.06140815246162,1889,3,origin,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
3,4,late morning,8.807834833245103,3,Local365,2015.6516675489677,13.06140815246162,1889,3,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
4,2,early morning,13.819351230425056,3,Local365,2015.331096196868,11.307046979865772,1788,4,origin,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
4,2,early morning,13.819351230425056,3,Local365,2015.331096196868,11.307046979865772,1788,4,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
5,5,late afternoon,17.380273660205244,3,Walk Up,2015.3950969213226,13.399087799315849,1754,5,origin,30.25226,(30.25226 -97.74854),-97.74854,South Congress & Academy,2570,active,14173,13724
5,5,late afternoon,17.380273660205244,3,Walk Up,2015.3950969213226,13.399087799315849,1754,5,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
6,3,late afternoon,10.989832535885167,3,Local365,2015.1022727272727,14.084928229665072,1672,6,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
6,3,late afternoon,10.989832535885167,3,Local365,2015.1022727272727,14.084928229665072,1672,6,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
7,2,late morning,7.727436823104693,3,Local365,2014.6708784596872,11.279181708784597,1662,7,origin,30.26774,(30.26774 -97.74692),-97.74692,Republic Square @ Guadalupe & 4th St.,2550,moved,10781,11473
7,2,late morning,7.727436823104693,3,Local365,2014.6708784596872,11.279181708784597,1662,7,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
8,4,late morning,17.390151515151516,10,Local365,2015.5366161616162,12.492424242424242,1584,8,origin,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
8,4,late morning,17.390151515151516,10,Local365,2015.5366161616162,12.492424242424242,1584,8,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
9,4,late afternoon,13.63112582781457,3,Annual Membership (Austin B-cycle),2014.930463576159,14.737086092715233,1510,9,origin,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
9,4,late afternoon,13.63112582781457,3,Annual Membership (Austin B-cycle),2014.930463576159,14.737086092715233,1510,9,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
10,4,late morning,9.151333333333334,3,Local365,2015.6726666666666,12.35,1500,10,origin,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
10,4,late morning,9.151333333333334,3,Local365,2015.6726666666666,12.35,1500,10,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
11,5,late afternoon,19.03445945945946,3,Walk Up,2015.3831081081082,14.039864864864866,1480,11,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
11,5,late afternoon,19.03445945945946,3,Walk Up,2015.3831081081082,14.039864864864866,1480,11,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
12,5,late afternoon,18.59577368779823,3,Walk Up,2015.4205862304023,14.56509884117246,1467,12,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
12,5,late afternoon,18.59577368779823,3,Walk Up,2015.4205862304023,14.56509884117246,1467,12,destination,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
13,0,late afternoon,18.637744034707158,3,Local365,2015.1569052783802,15.342010122921186,1383,13,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
13,0,late afternoon,18.637744034707158,3,Local365,2015.1569052783802,15.342010122921186,1383,13,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
14,5,early afternoon,31.31685393258427,6,Walk Up,2015.6741573033707,13.958801498127341,1335,14,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
14,5,early afternoon,31.31685393258427,6,Walk Up,2015.6741573033707,13.958801498127341,1335,14,destination,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
15,4,early afternoon,12.769172361427486,3,Local365,2015.2892938496584,13.22399392558846,1317,15,origin,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
15,4,early afternoon,12.769172361427486,3,Local365,2015.2892938496584,13.22399392558846,1317,15,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
16,5,early afternoon,26.56777691711851,3,Walk Up,2015.4763749031758,14.71959721146398,1291,16,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
16,5,early afternoon,26.56777691711851,3,Walk Up,2015.4763749031758,14.71959721146398,1291,16,destination,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,18833,17983
17,5,late afternoon,24.89260700389105,3,Walk Up,2015.1836575875486,14.961089494163424,1285,17,origin,30.25103,(30.25103 -97.74926),-97.74926,South Congress & James,2503,active,14376,14616
17,5,late afternoon,24.89260700389105,3,Walk Up,2015.1836575875486,14.961089494163424,1285,17,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
18,5,evening,18.60963855421687,3,Walk Up,2015.316465863454,15.30281124497992,1245,18,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
18,5,evening,18.60963855421687,3,Walk Up,2015.316465863454,15.30281124497992,1245,18,destination,30.26735,(30.26735 -97.73933),-97.73933,Trinity & 6th Street,2565,active,10721,12945
19,5,early afternoon,22.52542372881356,3,Walk Up,2015.227602905569,14.42130750605327,1239,19,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
19,5,early afternoon,22.52542372881356,3,Walk Up,2015.227602905569,14.42130750605327,1239,19,destination,30.25103,(30.25103 -97.74926),-97.74926,South Congress & James,2503,active,14376,14616
20,6,early afternoon,27.120717781402938,10,Walk Up,2016.0889070146818,14.083197389885807,1226,20,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
20,6,early afternoon,27.120717781402938,10,Walk Up,2016.0889070146818,14.083197389885807,1226,20,destination,30.2659,(30.2659 -97.76822),-97.76822,Zilker Park,2574,active,13302,15238
21,5,early afternoon,23.594884488448844,4,Walk Up,2015.3531353135313,13.835808580858085,1212,21,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
21,5,early afternoon,23.594884488448844,4,Walk Up,2015.3531353135313,13.835808580858085,1212,21,destination,30.26452,(30.26452 -97.7712),-97.7712,Barton Springs Pool,2572,active,11810,10733
22,0,late afternoon,8.555371900826445,3,Local365,2015.594214876033,15.6099173553719,1210,22,origin,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
22,0,late afternoon,8.555371900826445,3,Local365,2015.594214876033,15.6099173553719,1210,22,destination,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
23,5,evening,18.12156536219817,3,Walk Up,2015.563696919234,14.604496253122399,1201,23,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
23,5,evening,18.12156536219817,3,Walk Up,2015.563696919234,14.604496253122399,1201,23,destination,30.25226,(30.25226 -97.74854),-97.74854,South Congress & Academy,2570,active,14173,13724
24,2,late afternoon,8.06576728499157,5,Local365,2015.5927487352444,14.388701517706577,1186,24,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
24,2,late afternoon,8.06576728499157,5,Local365,2015.5927487352444,14.388701517706577,1186,24,destination,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
25,6,early afternoon,36.48348856900932,7,Walk Up,2015.5918712955122,14.020321761219305,1181,25,origin,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
25,6,early afternoon,36.48348856900932,7,Walk Up,2015.5918712955122,14.020321761219305,1181,25,destination,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
26,5,late afternoon,22.689478186484173,3,Walk Up,2015.28999144568,15.092386655260906,1169,26,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
26,5,late afternoon,22.689478186484173,3,Walk Up,2015.28999144568,15.092386655260906,1169,26,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
27,1,late afternoon,7.647875108412836,3,Annual Membership (Austin B-cycle),2014.4718126626192,15.533391153512575,1153,27,origin,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
27,1,late afternoon,7.647875108412836,3,Annual Membership (Austin B-cycle),2014.4718126626192,15.533391153512575,1153,27,destination,30.26774,(30.26774 -97.74692),-97.74692,Republic Square @ Guadalupe & 4th St.,2550,moved,10781,11473
28,5,late afternoon,33.09834638816362,3,Walk Up,2015.4934725848564,14.787641427328111,1149,28,origin,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,18833,17983
28,5,late afternoon,33.09834638816362,3,Walk Up,2015.4934725848564,14.787641427328111,1149,28,destination,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
29,6,evening,23.742653606411398,3,Walk Up,2015.5512021371326,15.27426536064114,1123,29,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
29,6,evening,23.742653606411398,3,Walk Up,2015.5512021371326,15.27426536064114,1123,29,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
30,4,late morning,15.1008100810081,3,Annual Membership (Austin B-cycle),2014.92799279928,12.003600360036003,1111,30,origin,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
30,4,late morning,15.1008100810081,3,Annual Membership (Austin B-cycle),2014.92799279928,12.003600360036003,1111,30,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
31,5,late afternoon,15.052346570397113,10,Walk Up,2014.994584837545,14.101083032490974,1108,31,origin,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,18833,17983
31,5,late afternoon,15.052346570397113,10,Walk Up,2014.994584837545,14.101083032490974,1108,31,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
32,5,late afternoon,20.69019248395967,3,Walk Up,2015.4967919340054,16.229147571035746,1091,32,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
32,5,late afternoon,20.69019248395967,3,Walk Up,2015.4967919340054,16.229147571035746,1091,32,destination,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
33,5,late afternoon,17.73988970588235,10,Local365,2015.499080882353,15.114889705882353,1088,33,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
33,5,late afternoon,17.73988970588235,10,Local365,2015.499080882353,15.114889705882353,1088,33,destination,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
34,5,early afternoon,14.836279069767443,3,Local365,2015.299534883721,14.688372093023256,1075,34,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
34,5,early afternoon,14.836279069767443,3,Local365,2015.299534883721,14.688372093023256,1075,34,destination,30.25941,(30.25941 -97.74971),-97.74971,Long Center @ South 1st & Riverside,2549,active,15708,16643
36,6,evening,19.310215557638237,3,Walk Up,2015.208059981256,15.231490159325212,1067,36,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
36,6,evening,19.310215557638237,3,Walk Up,2015.208059981256,15.231490159325212,1067,36,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
35,5,late afternoon,23.92502343017807,3,Walk Up,2015.124648547329,14.911902530459232,1067,35,origin,30.2726,(30.2726 -97.74127),-97.74127,Capitol Station / Congress & 11th,2497,active,19878,16977
35,5,late afternoon,23.92502343017807,3,Walk Up,2015.124648547329,14.911902530459232,1067,35,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
37,4,late afternoon,14.232075471698113,3,Local365,2015.2849056603773,14.667924528301887,1060,37,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
37,4,late afternoon,14.232075471698113,3,Local365,2015.2849056603773,14.667924528301887,1060,37,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
38,5,early afternoon,24.205348615090735,3,Walk Up,2015.5978987583571,12.76313276026743,1047,38,origin,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
38,5,early afternoon,24.205348615090735,3,Walk Up,2015.5978987583571,12.76313276026743,1047,38,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
39,5,early afternoon,19.294797687861273,3,Walk Up,2015.2437379576108,14.15028901734104,1038,39,origin,30.24891,(30.24891 -97.75019),-97.75019,South Congress & Elizabeth,2504,active,11932,10383
39,5,early afternoon,19.294797687861273,3,Walk Up,2015.2437379576108,14.15028901734104,1038,39,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
40,2,early morning,12.613437195715676,3,Local365,2014.9571567672833,11.287244401168453,1027,40,origin,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
40,2,early morning,12.613437195715676,3,Local365,2014.9571567672833,11.287244401168453,1027,40,destination,30.2587,(30.2587 -97.74872),-97.74872,Barton Springs & Riverside,2502,active,15464,16151
41,5,late afternoon,24.118279569892472,3,Walk Up,2015.4086021505377,16.047898338220918,1023,41,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
41,5,late afternoon,24.118279569892472,3,Walk Up,2015.4086021505377,16.047898338220918,1023,41,destination,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
42,5,late afternoon,34.065153010858836,3,Walk Up,2015.2546890424483,14.666337611056269,1013,42,origin,30.2726,(30.2726 -97.74127),-97.74127,Capitol Station / Congress & 11th,2497,active,19878,16977
42,5,late afternoon,34.065153010858836,3,Walk Up,2015.2546890424483,14.666337611056269,1013,42,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
43,0,late afternoon,9.839481555333998,3,Local365,2015.7836490528414,14.694915254237289,1003,43,origin,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
43,0,late afternoon,9.839481555333998,3,Local365,2015.7836490528414,14.694915254237289,1003,43,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
45,1,early afternoon,11.74446680080483,5,Annual Membership (Austin B-cycle),2014.6911468812878,13.773641851106639,994,45,origin,30.2698,(30.2698 -97.74186),-97.74186,8th & Congress,2496,active,12851,13913
45,1,early afternoon,11.74446680080483,5,Annual Membership (Austin B-cycle),2014.6911468812878,13.773641851106639,994,45,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
